Plot,Rate,Rep,Lab.C,B.gluc,Chit,Sulf,Phos,a.gluc,Xyl,Tot.Nem,Para,Fung,Bact,Pred,Omn,Pred.Omn,ln.Tot,ln.para,ln.fung,ln.bact,ln.pred.omn,Div.H,MI,PPI,EI,SI,CI,BF,Det,Pred,Roots,Fu2,Ba1,Ba2,Ba3,Ca3,Ca4,Om4,Ecto,Endo,taxa,Heli.d,Roty.r,Cric,Tyl,Aph,Rhabd,Pang,Ceph,Plect,Monhy,Trip,Mono,Doryl,pH.h2o,pH.cacl2,NO3.N,CN,CEC,ESP,EC,OM,OrgC,TC,TN,CaMg,Cl,PBI,P.colwell,K.avail,K.amm.ace,Ca.amm.ace,Mg.amm.ace,Na.amm.ace,Al.KCl,Al.sat,Al.ppm,Cu,Fe,Mn,Zn,S,Ca.amm.ace,Mg.amm.ace,K.amm.ace,Clay.pc,Sand.pc,Silt.pc,Texture,P.env.risk,Grass.index
R0.1,0,1,0.32,8.053728292,12.69355061,6.141326902,27.30555553,22.76571873,7.061929577,376,32,24,49,24,247,271.061828,5.93,3.51,3.23,3.9,5.61,1.2,3.14,0.26,85,97,13,1,15,83,2,24,40,8,0,8,16,247,32,0,7,0,32,0,24,0,0,40,8,0,0,8,16,247,6.9,6.1,6,10,10,1.3,0.16,2.2,1.27,1.6,0.16,3.4,15,190,110,940,2.4,5.8,1.7,0.13,0.1,1,9,0.99,44,53,1.7,71,58,17,24,26,60,15,Clay.Loam,0.58,0.32
R0.2,0,2,0.32,12.55931689,13.29064518,8.86052066,50.6385242,20.95285702,8.575352029,455,181,10,17,49,198,246.8198473,6.12,5.2,2.44,2.91,5.51,1.38,2.24,1.19,83,99,16,1,6,80,15,10,14,3,0,7,42,198,181,0,9,17,163,0,7,3,0,14,3,0,0,7,42,198,5.7,5.2,4.8,9.4,7.91,1.2,0.24,2.1,1.24,1.5,0.16,4.1,43,230,71,610,1.6,4.9,1.2,0.1,0.12,1.5,10,1.1,62,77,1.5,190,62,15,20,32,48,20,Clay.Loam,0.31,0.26
R0.3,0,3,0.245,14.56999301,15.23916439,14.19640414,63.20412954,26.05087557,10.45363728,480,198,17,34,59,173,231.5789474,6.18,5.29,2.88,3.55,5.45,1.49,2.05,1.24,80,97,17,1,10,74,17,17,21,8,4,25,34,173,198,0,10,0,198,0,13,4,13,8,8,0,4,25,34,173,6.4,5.6,4.8,10,8.59,1.7,0.1,2.2,1.26,1.6,0.16,4.2,24,210,30,660,1.7,5.4,1.3,0.14,0.11,1.3,9.7,0.8,39,54,0.93,45,63,15,20,34,49,18,Clay.Loam,0.14,0.25
R0.4,0,4,0.325,20.24184582,23.72715777,26.45722984,84.5709862,35.2789055,14.71979983,410,20,15,29,68,278,346.125,6.02,3.02,2.75,3.41,5.85,1.17,3.54,0.14,61,98,27,1,5,94,1,15,10,15,0,15,54,278,20,0,8,0,20,0,15,0,0,10,15,5,0,15,54,278,6,5.4,5.8,11,8.25,1.5,0.18,2.4,1.41,1.9,0.18,3.3,42,290,47,660,1.7,4.9,1.5,0.12,0.1,1,9,1.1,55,59,1.3,140,59,19,20,28,54,18,Clay.Loam,0.16,0.27
R0.5,0,5,0.325,10.80942919,13.14662348,7.790273793,41.29937755,27.25347271,8.171167131,823,180,35,55,69,484,553.4117647,6.71,5.2,3.57,4.03,6.32,1.39,2.82,0.66,88,98,14,1,10,83,7,35,55,0,0,21,48,484,180,0,10,28,145,7,28,7,7,48,0,0,0,21,48,484,6.5,5.7,6,11,8.61,0.9,0.17,2.2,1.26,1.8,0.16,3.1,19,170,99,740,1.9,4.9,1.6,0.08,0.13,1.5,11,0.98,48,66,1.5,83,57,19,22,22,64,14,Loam,0.58,0.29
R0.6,0,6,0.315,13.02107662,14.11614176,9.690706293,44.57794967,18.61250919,9.757780526,556,227,30,24,54,221,274.7634409,6.32,5.43,3.43,3.21,5.62,1.48,2.1,1.23,81,97,24,0,9,75,16,30,24,0,0,18,36,221,227,0,9,18,209,0,24,6,6,18,0,0,0,18,36,221,5.9,5.4,5,10,8.36,1.1,0.29,2.2,1.26,1.6,0.16,3.9,39,210,78,530,1.4,5.4,1.4,0.1,0.12,1.4,11,1,51,76,1.3,210,65,17,16,26,58,16,Clay.Loam,0.37,0.21
R1.1,200,1,0.295,12.44372442,20.99983727,11.07422845,57.26024376,19.60979281,9.497056785,1037,685,38,38,57,219,275.8458716,6.94,6.53,3.66,3.66,5.62,1.35,1.18,1.98,80,97,25,1,9,56,35,38,29,0,10,10,48,219,685,0,8,114,571,0,38,0,0,29,0,0,10,10,48,219,5.5,4.7,13,9.4,4.81,2,0.07,2.3,1.34,1.6,0.17,2.3,10,180,71,150,0.39,2.7,1.2,0.1,0.37,7.8,34,1.5,100,45,3.1,50,56,26,8.2,23,61,16,Loam,0.39,0.1
R1.2,200,2,0.29,18.93199204,18.43780418,17.7025608,83.23926738,31.65300442,13.94372379,725,277,29,35,71,312,383.2357724,6.59,5.63,3.42,3.59,5.95,1.36,2.2,1.15,81,98,20,1,8,77,15,29,29,6,0,35,35,312,277,0,8,6,271,0,29,0,0,29,6,0,0,35,35,312,5.7,5,16,10,6.32,1.5,0.12,2,1.16,1.5,0.15,2.6,33,170,61,410,1,3.6,1.4,0.09,0.16,2.5,14,0.88,64,61,1.5,54,57,22,16,27,59,15,Clay.Loam,0.36,0.2
R1.3,200,3,0.27,7.885158703,8.210767859,9.376496478,36.47911739,14.23784057,9.194845738,1247,582,62,146,83,374,457.38,7.13,6.37,4.15,4.99,6.13,1.66,1.66,1.4,89,96,10,1,21,60,20,62,135,10,0,42,42,374,582,0,11,42,509,31,52,10,21,114,10,0,0,42,42,374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R1.4,200,4,0.26,14.369215,24.95961778,20.60179172,70.96310031,31.06520226,19.25358544,649,358,47,47,47,151,197.296,6.48,5.88,3.87,3.87,5.29,1.26,1.43,1.66,83,94,20,1,17,57,26,47,47,0,0,0,47,151,358,0,6,0,358,0,42,5,0,47,0,0,0,0,47,151,5.9,5.1,9.4,8.8,5.99,1.3,0.09,2,1.17,1.5,0.17,3.3,26,220,31,250,0.63,3.9,1.2,0.08,0.21,3.4,18,1,58,46,1.5,60,65,20,11,23,62,15,Clay.Loam,0.14,0.12
R1.5,200,5,0.31,49.33803626,45.37498289,26.38347982,59.78440456,36.0775095,14.09712727,820,417,37,59,59,249,307.5,6.71,6.04,3.63,4.09,5.73,1.25,1.66,1.53,88,97,14,1,14,64,22,37,59,0,0,0,59,249,417,0,6,0,417,0,37,0,7,51,0,0,0,0,59,249,5.5,4.7,8.7,10,5.54,2,0.08,2,1.17,1.6,0.16,2.5,28,220,30,180,0.45,3.3,1.3,0.11,0.33,6,30,1.1,65,56,1.2,60,60,24,8.1,26,58,16,Clay.Loam,0.14,0.1
R1.6,200,6,0.275,24.62955554,27.92831721,14.82754052,39.05483676,48.02032391,17.82586,563,212,28,33,45,245,289.7584158,6.33,5.36,3.36,3.54,5.67,1.45,2.22,1.13,78,97,24,1,9,77,14,28,22,0,6,17,28,245,212,0,10,11,201,0,28,0,6,17,0,6,6,17,28,245,6.3,5.4,8.6,10,7.18,1.3,0.06,2.1,1.2,1.6,0.16,3.8,10,230,41,250,0.63,5,1.3,0.09,0.19,2.6,17,0.93,49,65,1.3,33,69,18,8.8,28,51,22,Clay.Loam,0.18,0.1
R2.1,300,1,0.31,13.75214624,12.54737649,11.74214967,48.93430286,21.55386525,10.47200539,1746,1483,8,76,59,119,177.9699029,7.47,7.3,2.25,4.35,5.19,0.65,0.47,2.55,91,97,3,1,11,29,60,8,59,17,0,0,59,119,1483,0,7,8,1475,0,8,0,0,59,17,0,0,0,59,119,5.4,4.7,13,11,5.03,1.9,0.07,2,1.16,1.7,0.16,2.6,10,180,55,190,0.49,2.9,1.1,0.1,0.43,8.5,39,1.2,82,57,2.5,57,57,23,9.6,27,62,11,Clay.Loam,0.31,0.12
R2.2,300,2,0.36,13.949755,12.8377558,10.50492464,73.39200441,24.25672509,9.757391916,619,258,33,82,25,221,246.0198675,6.43,5.56,3.52,4.42,5.51,1.6,1.85,1.25,87,96,11,1,21,63,16,33,70,12,0,0,25,221,258,0,9,45,209,4,21,12,0,70,12,0,0,0,25,221,5.5,4.8,13,10,6.08,1.9,0.11,2,1.17,1.6,0.16,3.2,30,210,41,270,0.7,3.8,1.2,0.11,0.26,4.3,23,0.99,68,71,1.4,62,62,20,11,28,57,15,Clay.Loam,0.2,0.14
R2.3,300,3,0.26,16.49732975,16.27134094,17.53041018,79.05845376,25.93656129,20.64447783,1279,905,49,39,49,236,285.2930769,7.15,6.81,3.92,3.7,5.66,0.94,1,2.12,81,96,24,0,9,51,40,49,39,0,0,0,49,236,905,0,6,0,905,0,30,20,0,39,0,0,0,0,49,236,6.2,5.4,9.9,10,5.96,1.6,0.08,1.8,1.05,1.4,0.14,4.5,17,180,35,320,0.83,4.1,0.92,0.1,0.1,1,9,0.71,38,64,0.89,30,69,15,14,29,53,18,Clay.Loam,0.19,0.17
R2.4,300,4,0.32,15.23933649,13.99729827,14.92589154,77.58710074,32.47435229,7.434788563,1045,780,22,28,33,182,215.6349206,6.95,6.66,3.14,3.35,5.38,0.98,0.9,2.24,73,96,25,1,6,50,45,22,17,6,0,0,33,182,780,0,9,33,746,0,22,0,6,11,6,6,0,0,33,182,5.8,5.1,14,10,5.56,1.4,0.09,2.2,1.25,1.6,0.16,3,24,210,52,210,0.53,3.6,1.2,0.08,0.21,3.8,19,1.2,74,45,2.3,47,64,21,9.5,23,63,15,Loam,0.25,0.11
R2.5,300,5,0.35,50.67692416,19.18920368,25.07100738,54.2326064,33.58394513,16.58192311,568,267,59,42,42,159,200.6117647,6.34,5.59,4.09,3.76,5.31,1.62,1.66,1.41,79,93,26,0,18,61,21,59,42,0,0,17,25,159,267,0,10,8,251,8,33,25,8,33,0,0,0,17,25,159,5.7,4.8,11,9.4,5.57,1.4,0.06,2.1,1.2,1.6,0.17,2.5,21,200,35,220,0.57,3.3,1.3,0.08,0.28,5,25,1.1,66,61,1.4,40,60,24,10,26,57,17,Clay.Loam,0.18,0.12
R2.6,300,6,0.265,27.82043593,29.26222305,14.62758965,73.17958556,45.00491527,11.25125444,819,569,14,21,7,208,215.1084746,6.71,6.35,2.7,3.08,5.38,0.82,1.12,2.08,77,98,20,1,5,57,38,14,14,0,0,0,7,208,569,0,6,0,569,0,14,0,0,14,0,7,0,0,7,208,5.9,4.9,8.7,9.4,6.23,1.2,0.06,2.1,1.24,1.5,0.16,2.8,10,210,42,270,0.68,3.9,1.4,0.08,0.26,4.2,23,0.91,56,66,1.3,31,62,22,11,27,54,19,Clay.Loam,0.2,0.13
R3.1,400,1,0.395,9.194881647,9.047247525,8.056305544,55.11761248,17.19489422,6.983518874,1674,1318,8,53,76,220,295.4823529,7.42,7.18,2.15,3.99,5.69,0.81,0.75,2.36,88,98,5,1,7,44,50,8,38,15,0,8,68,220,1318,0,9,8,1311,0,8,0,23,15,15,0,0,8,68,220,5.5,4.8,18,11,5.48,1.5,0.09,2.5,1.48,1.8,0.17,2,12,190,97,210,0.55,3,1.5,0.08,0.29,5.4,26,1.4,100,61,3.5,45,56,28,10,24,65,11,Clay.Loam,0.51,0.12
R3.2,400,2,0.31,16.10634475,16.95357556,16.74914502,130.5326659,33.43173517,9.966291427,1196,704,42,68,153,229,381.7021277,7.09,6.56,3.77,4.23,5.95,1.39,1.36,1.77,87,97,15,1,12,58,29,42,59,0,8,68,85,229,704,0,9,17,679,8,42,0,0,59,0,0,8,68,85,229,5.4,4.9,17,9.4,6.36,1.5,0.18,2,1.15,1.5,0.16,2.8,39,180,89,290,0.73,3.9,1.4,0.1,0.23,3.5,20,0.82,57,62,1.4,120,62,22,12,27,62,11,Clay.Loam,0.49,0.14
R3.3,400,3,0.31,14.54197087,15.32660549,18.33706704,139.0360157,37.38252572,19.3835815,1677,1118,25,99,137,298,434.7,7.43,7.02,3.25,4.61,6.08,1.24,1.09,2,94,98,6,1,13,51,35,25,99,0,0,62,75,298,1118,0,9,37,1068,12,25,0,25,75,0,0,0,62,75,298,5.4,4.7,16,9.4,4.38,1.6,0.08,2,1.17,1.5,0.16,2.4,21,180,50,200,0.51,2.4,1,0.07,0.4,9.1,36,0.8,57,63,1.2,48,54,23,12,27,59,14,Clay.Loam,0.28,0.15
R3.4,400,4,0.245,30.10223159,20.3307123,28.83768077,86.13195261,21.8459367,10.12346318,2170,1929,23,23,80,115,195.1492063,7.68,7.57,3.18,3.18,5.28,0.52,0.39,2.67,83,97,20,1,4,28,68,23,23,0,0,0,80,115,1929,0,7,11,1917,0,11,11,0,23,0,0,0,0,80,115,5.3,4.6,13,9.4,4.46,1.5,0.09,2.3,1.31,1.6,0.17,2.4,34,240,42,150,0.38,2.3,0.96,0.07,0.76,17,68,1.2,93,44,1.8,71,51,22,8.5,21,63,16,Loam,0.18,0.12
R3.5,400,5,0.29,42.06297943,34.33069501,17.40424458,321.3752511,34.85089716,12.59999225,783,552,20,50,60,100,160.574359,6.66,6.32,3.05,3.94,5.08,1.23,0.9,2.12,92,97,9,1,16,44,40,20,50,0,0,25,35,100,552,0,9,15,522,15,20,0,5,45,0,0,0,25,35,100,5.8,4.9,9.2,10,5.56,1.3,0.05,2.1,1.21,1.5,0.15,3.3,11,200,41,190,0.49,3.6,1.1,0.07,0.25,4.4,22,1,68,62,1.3,36,65,20,8.9,25,56,19,Clay.Loam,0.21,0.1
R3.6,400,6,0.28,20.27646447,22.46728233,17.03466153,178.1416767,44.52255189,19.92500938,1336,911,10,20,81,314,394.6090909,7.2,6.82,2.41,3.06,5.98,0.91,1.2,2.05,90,99,11,1,4,61,36,10,20,0,0,20,61,314,911,0,6,0,911,0,10,0,0,20,0,0,0,20,61,314,5.8,5,7.5,10,6.48,1.2,0.06,2.2,1.29,1.6,0.16,3.4,10,230,36,200,0.52,4.4,1.3,0.08,0.23,3.5,21,0.95,50,67,1.3,39,67,20,8,27,56,17,Clay.Loam,0.16,0.09
R4.1,500,1,0.355,15.17101293,10.67260901,8.705358596,66.36011171,20.38828861,7.067621288,2952,2674,21,11,107,139,246,7.99,7.89,3.11,2.46,5.51,0.52,0.35,2.72,75,98,33,0,2,26,72,21,11,0,0,11,96,139,2674,0,8,53,2620,0,11,11,0,11,0,0,0,11,96,139,5.3,4.6,11,11,4.59,2,0.07,2.2,1.26,1.8,0.17,2.6,10,190,83,130,0.32,2.6,0.99,0.09,0.61,13,55,1.5,110,49,3.4,56,56,22,7,26,61,14,Clay.Loam,0.44,0.09
R4.2,500,2,0.315,11.20224462,12.66367763,11.70441085,73.30762604,22.59705968,8.057324444,2880,2526,0,23,114,217,331.4285714,7.97,7.83,0,3.17,5.81,0.59,0.46,2.63,100,100,0,1,2,33,65,0,23,0,0,34,80,217,2526,0,7,34,2480,11,0,0,0,23,0,0,0,34,80,217,5,4.5,28,10,5.33,1.7,0.15,2.2,1.27,1.5,0.15,2.1,37,190,67,260,0.67,2.5,1.2,0.09,0.83,16,75,0.96,86,65,1.8,100,47,23,13,27,57,17,Clay.Loam,0.35,0.18
R4.3,500,3,0.38,12.80129272,11.7348242,16.66043958,86.16259428,32.83711433,17.00084727,718,342,6,67,140,163,302.6953125,6.58,5.84,1.89,4.22,5.72,1.58,1.73,1.43,93,99,2,1,14,66,20,6,56,11,0,56,84,163,342,0,9,22,320,0,6,0,6,50,11,0,0,56,84,163,5.5,4.7,15,9.4,4.01,1,0.08,2,1.19,1.5,0.16,2.1,21,200,50,330,0.84,1.9,0.9,0.04,0.38,9.4,34,0.85,70,84,1.6,38,46,23,21,27,55,17,Clay.Loam,0.25,0.3
R4.4,500,4,0.405,9.380867265,29.31857556,36.12139022,216.869231,42.92074087,15.49990185,2945,2511,13,25,115,280,395.1493506,7.99,7.83,2.62,3.28,5.98,0.67,0.55,2.56,90,99,11,1,3,37,60,13,25,0,0,13,102,280,2511,0,8,64,2447,0,13,0,13,13,0,0,0,13,102,280,5.3,4.6,24,11,5.05,1.6,0.1,2.6,1.5,2,0.19,2.2,21,190,64,200,0.5,2.6,1.2,0.08,0.65,13,58,1.6,110,52,2.9,40,51,24,9.9,20,68,13,Loam,0.34,0.13
R4.5,500,5,0.305,49.17037358,40.10281844,24.83866367,391.4195297,81.45960631,45.25237673,2220,1938,10,68,19,185,204.4736842,7.71,7.57,2.37,4.24,5.33,0.53,0.4,2.62,97,99,3,1,9,27,64,10,68,0,0,10,10,185,1938,0,7,0,1938,0,10,0,29,39,0,0,0,10,10,185,5.3,4.6,9.4,11,5.58,1.2,0.11,2.1,1.2,1.6,0.15,2.7,13,230,55,250,0.64,3.2,1.2,0.07,0.49,8.8,44,0.93,58,68,1.3,120,57,21,11,27,51,21,Clay.Loam,0.24,0.15
R4.6,500,6,0.325,14.36369623,17.27659623,13.96042851,336.3114634,53.65811822,13.26707044,1230,940,9,43,77,162,239.1666667,7.12,6.85,2.26,3.78,5.48,0.9,0.78,2.29,95,99,5,1,9,44,47,9,43,0,0,51,26,162,940,0,8,0,931,9,9,0,17,26,0,0,0,51,26,162,5.9,5,12,10,6.39,1.2,0.07,2.3,1.33,1.7,0.17,2.4,10,220,78,420,1.1,3.6,1.5,0.08,0.18,2.9,17,1,68,73,1.6,30,56,23,17,25,61,15,Clay.Loam,0.35,0.22
